client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0027_29,0,,447,test,0.0,4.133119392395019
f0173_00,0,,342,test,0.0,4.130695104598999
f0312_43,0,,256,test,0.0,4.129525979359944
f0403_29,0,,398,test,0.0,4.131134033203125
f0564_43,0,,292,test,0.0,4.121990998586019
f0723_20,0,,386,test,0.0,4.121904253959656
f0785_26,0,,106,test,0.0,4.126730918884277
f0884_29,0,,293,test,0.0,4.131702423095703
f1024_46,0,,122,test,0.0,4.146815776824951
f1167_31,0,,296,test,0.0,4.131704489390056
f1313_04,0,,289,test,0.0,4.131460825602214
f1437_23,0,,100,test,0.0,4.139012336730957
f1514_35,0,,146,test,0.0,4.134897470474243
f1579_11,0,,173,test,0.0,4.12961220741272
f1817_18,0,,163,test,0.0,4.126593589782715
f1941_44,0,,181,test,0.0,4.134523868560791
f2075_09,0,,162,test,0.0,4.14771842956543
f2178_93,0,,182,test,0.05263157894736842,4.12931752204895
f2283_59,0,,145,test,0.0,4.114948749542236
f2407_74,0,,171,test,0.05555555555555555,4.11549711227417
f2588_72,0,,167,test,0.058823529411764705,4.120924472808838
f3152_47,0,,182,test,0.0,4.131335020065308
f3302_29,0,,178,test,0.0,4.141229629516602
f3389_44,0,,172,test,0.0,4.133126974105835
f3587_27,0,,180,test,0.0,4.135098218917847
f3687_48,0,,173,test,0.0,4.133254051208496
f3769_10,0,,161,test,0.0,4.1326744556427
f3882_22,0,,140,test,0.0,4.129661321640015
f4059_48,0,,174,test,0.0,4.134692192077637
f0079_06,0,,262,test,0.0,4.1356682777404785
f0212_24,0,,325,test,0.0,4.138094902038574
f0333_01,0,,187,test,0.0,4.147608518600464
f0454_20,0,,90,test,0.0,4.134294509887695
f0678_26,0,,306,test,0.0,4.128798246383667
f0761_10,0,,368,test,0.0,4.124179363250732
f0818_03,0,,356,test,0.0,4.133724212646484
f0920_11,0,,269,test,0.0,4.136821269989014
f1068_20,0,,249,test,0.0,4.132820765177409
f1179_01,0,,164,test,0.0,4.132803916931152
f1390_10,0,,244,test,0.0,4.127058029174805
f1446_25,0,,281,test,0.034482758620689655,4.121138254801433
f1521_17,0,,93,test,0.0,4.116134166717529
f1687_40,0,,133,test,0.0,4.152521848678589
f1825_06,0,,149,test,0.0,4.1288087368011475
f1985_18,0,,161,test,0.0,4.125792741775513
f2093_26,0,,171,test,0.0,4.119493722915649
f2190_52,0,,180,test,0.0,4.1330554485321045
f2297_69,0,,168,test,0.0,4.113165378570557
f2438_76,0,,164,test,0.0,4.148046255111694
f3110_25,0,,183,test,0.0,4.144863843917847
f3180_41,0,,143,test,0.06666666666666667,4.124101161956787
f3315_23,0,,166,test,0.0,4.102858781814575
f3412_27,0,,166,test,0.0,4.127121448516846
f3601_49,0,,175,test,0.0,4.132787227630615
f3709_31,0,,17,test,0.0,4.184902191162109
f3807_11,0,,183,test,0.0,4.1364805698394775
f3922_38,0,,162,test,0.0,4.128612041473389
f0082_40,0,,246,test,0.0,4.132799943288167
f0255_48,0,,419,test,0.0,4.130552005767822
f0342_31,0,,369,test,0.0,4.13590669631958
f0464_48,0,,206,test,0.0,4.122574647267659
f0679_42,0,,416,test,0.0,4.133495903015136
f0762_20,0,,352,test,0.0,4.1376858949661255
f0840_37,0,,239,test,0.0,4.127437114715576
f0971_24,0,,333,test,0.0,4.127004027366638
f1101_38,0,,233,test,0.0,4.139310836791992
f1199_24,0,,280,test,0.0,4.1261725425720215
f1408_02,0,,271,test,0.0,4.134906609853108
f1461_46,0,,230,test,0.0,4.126913229624431
f1539_20,0,,176,test,0.0,4.12591814994812
f1704_29,0,,176,test,0.0,4.140357255935669
f1837_00,0,,124,test,0.0,4.121264934539795
f1986_20,0,,30,test,0.0,4.098155975341797
f2097_31,0,,92,test,0.0,4.147408962249756
f2194_63,0,,124,test,0.0,4.118826389312744
f2304_67,0,,152,test,0.0,4.151656627655029
f2446_88,0,,180,test,0.0,4.1227805614471436
f3116_03,0,,163,test,0.0,4.139816045761108
f3221_05,0,,169,test,0.0,4.1423256397247314
f3317_25,0,,156,test,0.0,4.129454851150513
f3517_27,0,,167,test,0.0,4.122623443603516
f3626_35,0,,145,test,0.0,4.133458137512207
f3714_05,0,,169,test,0.0,4.10988712310791
f3818_27,0,,175,test,0.0,4.128301620483398
f3961_03,0,,169,test,0.0,4.1370649337768555
f0097_05,0,,356,test,0.0,4.119752526283264
f0280_20,0,,383,test,0.0,4.141609311103821
f0367_33,0,,368,test,0.0,4.128487586975098
f0481_47,0,,406,test,0.0,4.136158466339111
f0706_13,0,,404,test,0.0,4.136776638031006
f0780_06,0,,282,test,0.0,4.126732190450032
